TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.cbarkinozer.onlinebankingrestapi.app.gen.enums.GenErrorMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7121212121212122,27,14
com.cbarkinozer.onlinebankingrestapi.app.gen.exception.GenExceptionResponse,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9761319376825706,284,279
com.cbarkinozer.onlinebankingrestapi.app.gen.util.StringUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4722222222222222,91,49
com.cbarkinozer.onlinebankingrestapi.app.kafka.consumer.KafkaListenerService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6426282051282051,38,15
com.cbarkinozer.onlinebankingrestapi.app.kafka.dto.LogMessage$LogMessageBuilder,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.625,48,21
com.cbarkinozer.onlinebankingrestapi.app.kafka.dto.LogMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8977290220555306,427,421
com.cbarkinozer.onlinebankingrestapi.app.kafka.producer.KafkaMessageController,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7625,17,11
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaApplyLoanDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9827884615384616,292,287
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaCalculateLateFeeResponseDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9865223961206104,391,386
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaCalculateLoanResponseDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9907624756959091,482,477
com.cbarkinozer.onlinebankingrestapi.app.loa.entity.LoaLoan,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,156,156
